n_a,n_b,successes,trials,estimate,cost_weight,cost_yuan,a_cost_yuan,b_cost_yuan,a_volume_um3,b_volume_um3,total_volume_um3,a_volume_percent,b_volume_percent,total_volume_percent,cp_one_sided_95_lower,cp_one_sided_family_lower,family_size
588,260,45001,50000,0.90002,350036,9.163921050766307,8.728286869468521,0.43563418129778464,8.312654161398592,8.712683625955695,17.02533778735429,0.8312654161398592,0.8712683625955694,1.7025337787354287,0.8977861990630301,0.8977861990630301,1
587,272,45008,50000,0.90016,350237,9.16918321846107,8.71344284418031,0.4557403742807593,8.298516994457438,9.114807485615188,17.413324480072625,0.8298516994457439,0.9114807485615188,1.7413324480072625,0.8979275668849466,0.8979275668849466,1
586,284,45002,50000,0.90004,350438,9.174445386155833,8.698598818892098,0.475846567263734,8.284379827516284,9.516931345274681,17.801311172790967,0.8284379827516284,0.9516931345274682,1.7801311172790968,0.8978063943843658,0.8978063943843658,1
618,1,45458,50000,0.90916,350470,9.17528314419679,9.173607628114874,0.0016755160819145562,8.736769169633213,0.03351032163829113,8.770279491271504,0.8736769169633213,0.003351032163829113,0.8770279491271503,0.907018422343078,0.907018422343078,1
585,295,45004,50000,0.90008,350575,9.17803203776868,8.683754793603887,0.49427724416479407,8.27024266057513,9.885544883295884,18.155787543871014,0.827024266057513,0.9885544883295884,1.8155787543871016,0.8978467851088042,0.8978467851088042,1
584,304,45006,50000,0.90012,350584,9.1782676572177,8.668910768315675,0.5093568889020251,8.256105493633976,10.187137778040503,18.44324327167448,0.8256105493633976,1.0187137778040503,1.844324327167448,0.8978871759423113,0.8978871759423113,1
583,315,45006,50000,0.90012,350721,9.181854308830548,8.654066743027462,0.5277875658030852,8.241968326692822,10.555751316061706,18.79771964275453,0.8241968326692822,1.0555751316061706,1.879771964275453,0.8978871759423113,0.8978871759423113,1
582,325,45011,50000,0.90022,350794,9.183765444361482,8.639222717739251,0.5445427266222308,8.227831159751668,10.890854532444617,19.118685692196287,0.8227831159751667,1.0890854532444616,1.9118685692196287,0.8979881535036419,0.8979881535036419,1
581,336,45006,50000,0.90012,350931,9.18735209597433,8.624378692451039,0.562973403523291,8.213693992810514,11.25946807046582,19.473162063276334,0.8213693992810515,1.1259468070465821,1.9473162063276335,0.8978871759423113,0.8978871759423113,1
580,346,45015,50000,0.9003,351004,9.189263231505263,8.609534667162828,0.5797285643424365,8.19955682586936,11.594571286848732,19.79412811271809,0.819955682586936,1.1594571286848732,1.9794128112718092,0.8980689360443921,0.8980689360443921,1
619,1,45558,50000,0.91116,351037,9.190127169485,9.188451653403087,0.0016755160819145562,8.750906336574367,0.03351032163829113,8.784416658212658,0.8750906336574367,0.003351032163829113,0.8784416658212658,0.9090394368003076,0.9090394368003076,1
579,358,45005,50000,0.9001,351205,9.194525399200026,8.594690641874616,0.5998347573254111,8.185419658928206,11.996695146508225,20.18211480543643,0.8185419658928206,1.1996695146508225,2.018211480543643,0.8978669805119213,0.8978669805119213,1
578,373,45005,50000,0.9001,351598,9.204814115140534,8.579846616586405,0.6249674985541295,8.171282491987052,12.499349971082593,20.670632463069644,0.8171282491987051,1.2499349971082592,2.0670632463069647,0.8978669805119213,0.8978669805119213,1
577,382,45001,50000,0.90002,351607,9.205049734589553,8.565002591298192,0.6400471432913605,8.157145325045898,12.800942865827212,20.95808819087311,0.8157145325045898,1.2800942865827212,2.0958088190873108,0.8977861990630301,0.8977861990630301,1
576,396,45002,50000,0.90004,351936,9.213662934448145,8.55015856600998,0.6635043684381643,8.143008158104744,13.270087368763289,21.413095526868034,0.8143008158104743,1.3270087368763288,2.141309552686803,0.8978063943843658,0.8978063943843658,1
575,406,45004,50000,0.90008,352009,9.215574069979079,8.53531454072177,0.6802595292573098,8.12887099116359,13.605190585146199,21.734061576309788,0.8128870991163589,1.3605190585146199,2.173406157630979,0.8978467851088042,0.8978467851088042,1
574,416,45002,50000,0.90004,352082,9.217485205510012,8.520470515433557,0.6970146900764554,8.114733824222435,13.94029380152911,22.055027625751546,0.8114733824222435,1.3940293801529111,2.2055027625751547,0.8978063943843658,0.8978063943843658,1
573,427,45000,50000,0.9,352219,9.22107185712286,8.505626490145346,0.7154453669775155,8.100596657281281,14.308907339550313,22.409503996831596,0.8100596657281282,1.4308907339550312,2.2409503996831597,0.8977660037689393,0.8977660037689393,1
572,441,45015,50000,0.9003,352548,9.229685056981452,8.490782464857134,0.7389025921243193,8.086459490340127,14.77805184248639,22.864511332826517,0.8086459490340127,1.4778051842486388,2.286451133282652,0.8980689360443921,0.8980689360443921,1
571,450,45010,50000,0.9002,352557,9.229920676430472,8.475938439568921,0.7539822368615503,8.072322323398973,15.079644737231009,23.151967060629982,0.8072322323398974,1.5079644737231008,2.315196706062998,0.8979679579367683,0.8979679579367683,1
570,459,45000,50000,0.9,352566,9.23015629587949,8.46109441428071,0.7690618815987813,8.058185156457819,15.38123763197563,23.439422788433447,0.8058185156457819,1.538123763197563,2.343942278843345,0.8977660037689393,0.8977660037689393,1
569,470,45009,50000,0.90018,352703,9.23374294749234,8.446250388992498,0.7874925584998415,8.044047989516665,15.749851169996832,23.793899159513497,0.8044047989516665,1.5749851169996831,2.3793899159513496,0.8979477623972059,0.8979477623972059,1
568,482,45002,50000,0.90004,352904,9.239005115187103,8.431406363704287,0.8075987514828161,8.029910822575511,16.151975029656324,24.181885852231837,0.802991082257551,1.6151975029656322,2.4181885852231835,0.8978063943843658,0.8978063943843658,1
567,493,45002,50000,0.90004,353041,9.24259176679995,8.416562338416075,0.8260294283838763,8.015773655634357,16.520588567677528,24.536362223311883,0.8015773655634357,1.6520588567677528,2.4536362223311885,0.8978063943843658,0.8978063943843658,1
