N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
605,0,44224,50000,0.88448,0.0014295113123,0.881648624229,0.887252301746
606,0,44346,50000,0.88692,0.0014162832598,0.884114358836,0.889666192241
607,0,44456,50000,0.88912,0.00140417680938,0.886337913918,0.891842299137
608,0,44558,50000,0.89116,0.00139279470418,0.88840006181,0.893859837806
609,0,44672,50000,0.89344,0.00137989105657,0.890705172868,0.896114376434
610,0,44765,50000,0.8953,0.00136921809804,0.892585944858,0.897953318662
611,0,44891,50000,0.89782,0.00135454234042,0.895134510032,0.900444366299
612,0,44994,50000,0.89988,0.00134235603027,0.897218232147,0.902480327671
613,0,45093,50000,0.90186,0.00133047766159,0.89922135692,0.904436898678
614,0,45214,50000,0.90428,0.0013157331158,0.901670064397,0.906827819377
615,0,45319,50000,0.90638,0.00130273017621,0.903795383548,0.908902177568
616,0,45418,50000,0.90836,0.00129028764545,0.905799613691,0.910857643205
617,0,45522,50000,0.91044,0.00127702001864,0.907905452941,0.91291148437
618,0,45622,50000,0.91244,0.00126406682102,0.909930682125,0.914885947893
619,0,45708,50000,0.91416,0.0012527688885,0.911672689143,0.916583676602
620,0,45812,50000,0.91624,0.00123890485833,0.913779696901,0.91863634926
621,0,45908,50000,0.91816,0.00122590549717,0.915725022502,0.920530728658
622,0,46015,50000,0.9203,0.00121118049852,0.917893712617,0.922641709739
623,0,46102,50000,0.92204,0.00119901825174,0.919657411527,0.924357743484
624,0,46197,50000,0.92394,0.00118553681006,0.921583683104,0.926231179978
625,0,46287,50000,0.92574,0.00117256515725,0.923408963329,0.928005623189
626,0,46368,50000,0.92736,0.00116071900476,0.925052051849,0.929602285763
627,0,46439,50000,0.92878,0.00115019747522,0.926492560028,0.931001559405
628,0,46513,50000,0.93026,0.0011390902721,0.927994211185,0.932459680851
629,0,46589,50000,0.93178,0.00112752855041,0.929536749843,0.93395690865
630,0,46672,50000,0.93344,0.00111471760011,0.931221725553,0.935591677887
